"Timestamp","Ikä?","Sukupuoli?","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kai","Olen käynyt yhteislenkillä","Yhteislenkki oli ","Minulle käteviä treenipaikkoja olisivat ","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa"
"2018/09/23 5:09:08 PM GMT+3","40-50","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;kisaaminen","Ajanpuute;Kaverin puute","En","","Laajis;Halssila;Kanavuori;Kuokkala;Sippulanniemi;Keljonkangas;Myllyjärvi","","","","","","","12-15","12-15","2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa","kuukausi etukäteen"
"2018/09/23 5:11:07 PM GMT+3","40-50","nainen","maratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Sippulanniemi","pyörällä;omalla autolla","","","","5-7","5-7","7-10;12-15","7-10;12-15","2 h;2 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);pitkää raastoa;Erilaisia kimppalenkkivaihtoehtoja eritasoisten juoksijoiden tarpeisiin. 😊","helppoa neulaspolkua;paljon verttimetrejä;rymypätkiä;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 5:11:40 PM GMT+3","40-50","nainen","maratonin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute;Kulkuyhteydet;Laiskuus","Joo","minun tasolleni liian nopeaa","Halssila","omalla autolla","","17-19","17-19","17-19","17-19","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","30 min;45 min;1 h;1 h 30 min;2 h;2 h 30 min","maltillinen hölkkä hitaimman mukaan;Olen hitaampi kuin etana tervassa ja se on suurin kynnys lenkeille. Toinen haaste on perheen ruoka-ajat, jolloin olisi oltava kotona.","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:13:32 PM GMT+3","40-50","mies","ultran","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute","Joo","ihan sopiva kaikin puolin ja mukava","Touruvuori;Halssila;Kanavuori;Kuokkala;Tiituspohjan alue","juoksen alkulämpät;linkillä;toisen kyydillä;omalla autolla","","","","5-7","","7-10","7-10","1 h 30 min","peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:14:50 PM GMT+3","20-30","nainen","5km lenkin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","omalla autolla","17-19","","17-19","17-19","17-19","","","1 h;1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa;suota","muutama päivä aiemmin riittää"
"2018/09/23 5:15:46 PM GMT+3","20-30","mies","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen pätkä vaellusreitistöllä","Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Sippulanniemi;Keljonkangas","pyörällä","","","","","","","","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää"
"2018/09/23 5:17:24 PM GMT+3","20-30","nainen","10km lenkin","yli viidesti viikossa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Määrärahojen puute;Ajanpuute;Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","","17-19","17-19","17-19","17-19","17-19","12-15;10-12;15-17;17-19","12-15;10-12;15-17;17-19","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää"
"2018/09/23 5:18:53 PM GMT+3","30-40","nainen","10km lenkin;puolimaratonin","kolmesti tai neljästi viikossa","kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute","Joo","ihan sopiva kaikin puolin ja mukava","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä;omalla autolla","","","","5-7","","5-7","5-7","1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin"
"2018/09/23 5:20:22 PM GMT+3","30-40","nainen","10km lenkin","yli viidesti viikossa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","Laiskuus","En","","Laajis;Touruvuori;Halssila;Kanavuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas;Myllyjärvi","pyörällä;omalla autolla","17-19;19-21","","","","12-15;10-12;15-17;17-19","","12-15;10-12;15-17;17-19","1 h 30 min;2 h","peruskestävyys-hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää"
"2018/09/23 5:20:32 PM GMT+3","20-30","nainen","puolimaratonin","kolmesti tai neljästi viikossa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen pätkä vaellusreitistöllä","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute;Laiskuus","Joo","ihan sopiva kaikin puolin ja mukava;ihme rymyämistä","Laajis;Touruvuori;Kuokkala;Keskusta;Sippulanniemi;Keljonkangas","pyörällä","","19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19","7-10;12-15;10-12;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys-hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;juurakkoa;suota","muutama päivä aiemmin riittää"
